annotation,type,start,end
281,Insult,4,9
282,Threat,16,24
283,Profane/Obscene,4,9
284,Threat,13,21
285,Insult,50,84
287,Other Toxicity,13,20
287,Insult,30,33
288,Other Toxicity,35,46
289,Threat,35,46
290,Identity based Attack,29,33
291,Threat,35,46
292,Threat,35,46
293,Insult,20,27
294,Insult,12,27
295,Insult,20,27
295,Identity based Attack,10,11
296,Insult,20,27
297,Insult,20,27
298,Insult,34,40
298,Insult,117,123
299,Other Toxicity,103,123
299,Insult,34,40
300,Insult,34,40
301,Insult,34,40
302,Insult,26,40
303,Insult,0,7
303,Threat,46,49
304,Profane/Obscene,0,7
304,Insult,8,13
304,Threat,46,49
305,Insult,0,13
306,Profane/Obscene,0,13
307,Profane/Obscene,525,572
308,Other Toxicity,541,556
309,Insult,548,556
309,Profane/Obscene,541,547
310,Profane/Obscene,541,547
310,Profane/Obscene,548,556
311,Insult,512,522
312,Insult,75,81
313,Insult,75,81
313,Other Toxicity,121,133
314,Insult,75,81
314,Insult,64,70
315,Insult,64,70
315,Insult,75,81
316,Insult,75,81
316,Profane/Obscene,64,70
317,Insult,6,10
318,Insult,36,40
318,Insult,56,71
319,Insult,36,40
320,Insult,29,40
321,Insult,109,118
322,Insult,47,61
324,Profane/Obscene,109,127
325,Profane/Obscene,138,165
325,Identity based Attack,138,165
327,Identity based Attack,138,165
328,Insult,138,142
328,Identity based Attack,160,165
330,Insult,30,37
330,Insult,39,46
330,Insult,52,59
330,Insult,113,120
331,Profane/Obscene,69,78
331,Profane/Obscene,30,37
331,Other Toxicity,39,46
332,Insult,22,37
332,Insult,39,46
332,Insult,52,59
334,Insult,30,37
334,Other Toxicity,39,46
334,Insult,52,59
335,Insult,45,59
336,Identity based Attack,0,58
337,Profane/Obscene,45,59
338,Profane/Obscene,19,31
339,Other Toxicity,316,324
339,Other Toxicity,326,336
339,Identity based Attack,501,512
340,Insult,485,499
342,Insult,326,336
342,Insult,485,512
343,Insult,23,29
344,Insult,23,29
344,Insult,45,53
345,Insult,23,29
346,Insult,23,29
347,Identity based Attack,31,53
348,Other Toxicity,13,31
349,Insult,134,140
350,Identity based Attack,174,221
351,Insult,134,140
352,Insult,134,140
353,Insult,136,149
354,Insult,136,142
354,Identity based Attack,143,149
355,Insult,136,142
356,Insult,136,142
357,Insult,136,142
358,Other Toxicity,13,21
359,Threat,13,21
360,Identity based Attack,0,21
361,Threat,13,21
362,Identity based Attack,0,21
363,Insult,140,146
364,Insult,140,146
365,Insult,140,146
366,Insult,140,146
369,Profane/Obscene,53,59
370,Insult,53,59
371,Insult,53,64
372,Insult,4,12
372,Insult,261,276
373,Insult,4,12
373,Insult,270,276
374,Insult,4,12
374,Insult,270,276
375,Profane/Obscene,4,12
375,Profane/Obscene,270,276
376,Insult,53,72
377,Insult,54,60
377,Insult,67,73
378,Insult,54,60
379,Insult,54,60
379,Insult,67,73
380,Insult,0,16
381,Insult,6,16
381,Insult,0,5
382,Insult,6,16
382,Insult,0,5
383,Profane/Obscene,0,16
385,Insult,8,27
386,Identity based Attack,8,21
387,Identity based Attack,0,27
388,Identity based Attack,8,21
388,Insult,22,27
389,Profane/Obscene,32,36
390,Profane/Obscene,32,36
391,Insult,32,55
391,Identity based Attack,336,348
392,Profane/Obscene,32,36
392,Identity based Attack,605,611
393,Insult,32,36
393,Insult,344,348
393,Identity based Attack,605,630
394,Insult,39,68
395,Profane/Obscene,65,68
396,Insult,65,68
397,Profane/Obscene,52,68
398,Insult,38,45
398,Insult,83,92
399,Insult,21,92
399,Threat,14,19
400,Insult,38,53
400,Profane/Obscene,83,92
401,Insult,38,45
401,Insult,83,92
402,Profane/Obscene,21,92
403,Identity based Attack,42,47
404,Insult,0,65
404,Threat,138,154
405,Insult,12,17
405,Threat,34,47
406,Other Toxicity,202,208
407,Insult,12,17
409,Insult,2,6
410,Insult,2,6
411,Insult,0,6
412,Threat,36,42
413,Insult,24,31
413,Insult,42,61
414,Insult,24,31
414,Insult,50,61
415,Insult,50,61
416,Insult,12,31
416,Insult,50,61
417,Insult,30,35
418,Profane/Obscene,30,35
419,Insult,30,35
420,Insult,30,35
421,Insult,30,35
422,Insult,0,50
423,Insult,47,50
423,Insult,133,138
423,Insult,17,21
424,Insult,38,50
424,Identity based Attack,133,141
424,Identity based Attack,17,21
425,Insult,12,50
425,Insult,126,152
426,Insult,324,335
427,Other Toxicity,10,23
427,Insult,83,89
428,Insult,83,89
429,Insult,83,89
430,Insult,65,89
431,Profane/Obscene,79,83
431,Other Toxicity,155,165
432,Profane/Obscene,79,83
433,Insult,79,83
433,Insult,155,165
434,Insult,155,165
435,Insult,79,83
435,Insult,208,225
436,Profane/Obscene,28,35
436,Profane/Obscene,79,83
436,Profane/Obscene,517,532
437,Insult,79,83
438,Insult,79,83
438,Identity based Attack,146,162
438,Insult,516,535
438,Other Toxicity,367,418
439,Insult,79,83
439,Identity based Attack,462,512
441,Insult,8,20
442,Insult,14,20
443,Insult,14,20
444,Insult,25,30
445,Insult,25,34
446,Identity based Attack,14,34
447,Profane/Obscene,74,77
448,Insult,150,160
449,Profane/Obscene,74,77
449,Insult,150,160
450,Insult,0,5
451,Insult,0,5
453,Insult,0,5
454,Threat,32,37
455,Insult,32,37
456,Insult,32,37
457,Insult,88,95
458,Profane/Obscene,88,95
459,Insult,88,95
461,Threat,7,21
462,Insult,12,21
463,Insult,12,21
464,Insult,13,26
465,Insult,13,26
468,Insult,39,74
469,Insult,238,243
470,Insult,238,243
471,Insult,238,243
472,Insult,0,23
473,Insult,17,23
474,Insult,17,23
475,Insult,43,49
476,Insult,156,161
477,Insult,43,49
477,Insult,156,161
478,Insult,43,49
481,Threat,0,99
482,Threat,0,70
483,Insult,24,29
484,Insult,24,29
485,Insult,24,29
486,Insult,73,79
487,Insult,73,79
488,Insult,73,79
489,Insult,20,26
490,Insult,20,26
491,Insult,20,26
493,Insult,65,71
494,Insult,65,71
495,Other Toxicity,143,152
496,Insult,143,152
498,Insult,54,81
499,Insult,54,68
500,Insult,54,68
504,Insult,18,29
505,Insult,13,22
506,Insult,13,22
507,Insult,80,85
508,Insult,13,22
508,Other Toxicity,80,85
509,Insult,35,44
510,Identity based Attack,35,62
511,Insult,35,44
512,Other Toxicity,10,25
514,Profane/Obscene,0,25
515,Insult,20,25
516,Insult,53,60
518,Profane/Obscene,30,99
519,Insult,235,241
520,Insult,229,234
521,Insult,229,241
522,Profane/Obscene,45,51
523,Insult,45,51
523,Identity based Attack,45,58
524,Insult,45,51
525,Profane/Obscene,0,9
526,Insult,150,156
527,Insult,0,9
528,Insult,140,145
529,Insult,98,108
532,Insult,10,16
533,Insult,10,16
534,Insult,6,16
535,Insult,6,16
536,Insult,10,16
537,Insult,10,16
538,Insult,4,8
539,Insult,0,8
540,Other Toxicity,4,8
543,Insult,276,282
544,Insult,276,282
545,Other Toxicity,265,330
546,Profane/Obscene,276,282
547,Other Toxicity,22,26
548,Insult,13,19
549,Insult,22,26
550,Insult,55,60
551,Insult,55,60
552,Insult,55,60
553,Insult,16,22
554,Identity based Attack,16,22
554,Insult,73,90
555,Insult,16,22
555,Insult,124,133
556,Insult,119,125
558,Profane/Obscene,192,196
559,Insult,63,69
559,Other Toxicity,205,208
560,Profane/Obscene,194,212
560,Insult,340,344
562,Insult,18,24
563,Insult,8,24
564,Insult,72,77
565,Insult,41,50
566,Insult,14,18
566,Insult,41,50
567,Insult,41,50
568,Insult,14,18
568,Insult,41,50
570,Insult,7,22
570,Insult,125,130
571,Insult,103,115
574,Identity based Attack,0,7
574,Identity based Attack,30,40
575,Profane/Obscene,212,219
576,Insult,4,35
576,Profane/Obscene,212,219
577,Insult,180,191
577,Insult,212,219
577,Other Toxicity,212,219
578,Insult,13,19
579,Insult,13,19
580,Identity based Attack,13,35
581,Insult,117,121
582,Profane/Obscene,88,92
583,Insult,88,92
583,Insult,117,121
584,Insult,88,92
585,Insult,88,92
586,Insult,16,22
587,Insult,16,22
588,Insult,16,22
589,Identity based Attack,45,105
591,Profane/Obscene,45,105
592,Insult,118,124
593,Insult,118,124
593,Insult,618,622
594,Insult,118,124
595,Threat,150,154
596,Insult,13,26
597,Insult,150,154
598,Profane/Obscene,165,169
599,Insult,82,88
599,Insult,94,98
600,Insult,80,98
601,Threat,14,20
602,Insult,82,88
602,Insult,94,98
603,Insult,124,128
604,Insult,124,128
605,Insult,124,128
605,Profane/Obscene,43,68
606,Insult,0,19
606,Identity based Attack,36,49
607,Insult,10,19
608,Insult,10,19
609,Insult,42,47
610,Insult,42,47
611,Insult,42,47
612,Insult,46,52
612,Insult,61,65
613,Insult,46,52
614,Insult,46,52
614,Insult,61,65
615,Insult,46,52
615,Insult,61,65
616,Insult,46,52
617,Insult,46,52
617,Insult,61,65
618,Insult,27,32
619,Insult,27,32
620,Insult,27,32
622,Identity based Attack,27,33
623,Insult,27,33
624,Insult,27,33
625,Insult,39,44
626,Other Toxicity,56,62
627,Insult,0,5
627,Insult,39,44
627,Insult,56,62
630,Insult,142,147
631,Insult,142,147
632,Insult,141,149
633,Identity based Attack,134,140
634,Identity based Attack,134,140
635,Insult,5,18
636,Profane/Obscene,5,12
636,Insult,13,18
637,Profane/Obscene,5,18
637,Insult,13,18
638,Insult,62,68
639,Insult,62,68
640,Insult,62,68
641,Profane/Obscene,9,32
642,Insult,25,32
643,Insult,9,32
644,Profane/Obscene,167,171
645,Insult,10,16
646,Insult,10,16
646,Insult,167,182
647,Insult,201,209
647,Insult,191,199
648,Other Toxicity,60,69
649,Insult,36,45
649,Insult,191,222
650,Insult,201,209
651,Insult,178,222
652,Insult,279,284
653,Insult,279,284
654,Insult,279,284
655,Insult,111,117
656,Insult,111,117
657,Other Toxicity,0,139
658,Insult,111,117
659,Insult,111,117
660,Insult,111,117
660,Identity based Attack,0,7
663,Threat,48,54
667,Identity based Attack,9,27
668,Identity based Attack,0,82
669,Identity based Attack,17,27
671,Insult,91,97
671,Insult,106,112
671,Insult,127,132
671,Insult,259,265
672,Insult,91,97
672,Insult,106,112
672,Insult,127,132
672,Insult,259,265
673,Insult,91,97
673,Insult,106,112
673,Insult,259,265
674,Insult,197,201
674,Insult,184,195
674,Insult,175,181
675,Other Toxicity,175,181
675,Other Toxicity,184,195
676,Insult,173,234
677,Other Toxicity,12,22
678,Profane/Obscene,12,22
679,Insult,0,7
679,Insult,12,22
680,Insult,12,22
681,Insult,180,184
682,Insult,180,184
683,Threat,250,311
684,Identity based Attack,6,53
685,Profane/Obscene,6,14
686,Insult,6,14
687,Insult,26,32
688,Insult,8,32
689,Insult,26,32
691,Insult,26,57
692,Profane/Obscene,212,217
694,Profane/Obscene,104,108
695,Profane/Obscene,104,114
696,Insult,104,108
696,Identity based Attack,135,179
697,Profane/Obscene,104,108
699,Insult,198,204
700,Insult,0,9
701,Insult,198,204
703,Insult,43,52
704,Insult,43,52
705,Insult,43,52
706,Insult,43,52
707,Insult,0,5
708,Insult,0,8
709,Insult,0,5
710,Insult,57,62
711,Insult,52,62
712,Insult,57,62
714,Insult,282,285
715,Profane/Obscene,140,144
719,Threat,37,41
720,Threat,37,41
721,Threat,37,49
722,Threat,37,41
723,Threat,37,41
724,Insult,61,67
725,Identity based Attack,61,79
725,Threat,109,115
726,Insult,61,67
726,Insult,109,115
727,Insult,61,67
727,Insult,109,115
728,Insult,3,8
729,Insult,3,8
730,Insult,3,8
731,Insult,3,8
732,Profane/Obscene,3,8
733,Insult,60,65
734,Insult,60,65
735,Insult,60,65
736,Insult,2,8
737,Insult,2,8
738,Insult,2,8
739,Insult,148,154
739,Insult,170,176
740,Insult,148,154
742,Insult,57,78
743,Insult,57,69
744,Insult,57,69
745,Insult,94,99
746,Insult,94,99
747,Insult,94,99
748,Insult,81,88
750,Insult,110,115
751,Insult,138,148
752,Insult,138,163
753,Insult,138,148
754,Insult,11,16
755,Insult,11,16
755,Insult,35,40
756,Insult,11,16
756,Insult,35,40
758,Insult,107,121
759,Insult,116,121
760,Insult,116,121
762,Insult,31,36
763,Profane/Obscene,115,120
765,Insult,218,225
766,Threat,201,215
767,Insult,218,225
768,Insult,131,137
768,Insult,4,10
768,Profane/Obscene,310,313
769,Insult,4,10
770,Insult,4,10
770,Insult,305,309
771,Insult,28,33
771,Insult,40,47
771,Insult,68,120
771,Insult,128,168
772,Insult,24,60
772,Insult,62,168
773,Insult,28,33
774,Insult,19,27
774,Insult,100,109
775,Profane/Obscene,19,27
776,Insult,19,27
776,Insult,87,109
777,Insult,19,27
777,Insult,100,109
779,Other Toxicity,157,168
779,Threat,205,217
781,Insult,109,113
782,Insult,87,116
784,Insult,165,227
785,Insult,221,227
786,Insult,221,227
787,Identity based Attack,29,41
788,Other Toxicity,29,41
789,Insult,29,41
790,Insult,29,41
791,Insult,101,107
792,Insult,101,107
793,Insult,101,113
796,Identity based Attack,292,298
797,Insult,213,219
797,Profane/Obscene,220,224
798,Insult,213,219
798,Profane/Obscene,190,194
799,Insult,213,219
800,Insult,213,219
801,Insult,121,129
802,Insult,121,129
803,Insult,121,129
804,Insult,121,129
805,Insult,121,129
806,Insult,130,136
808,Insult,130,136
809,Profane/Obscene,90,93
810,Profane/Obscene,90,93
811,Threat,90,93
812,Insult,90,93
813,Profane/Obscene,90,93
814,Insult,114,120
815,Insult,114,120
816,Insult,114,120
817,Insult,8,12
817,Insult,98,112
818,Insult,107,112
819,Insult,107,112
820,Insult,107,112
821,Insult,127,131
823,Insult,127,131
824,Insult,127,131
825,Insult,127,131
826,Profane/Obscene,7,14
826,Profane/Obscene,68,72
826,Profane/Obscene,78,82
827,Profane/Obscene,7,14
828,Insult,573,579
829,Profane/Obscene,7,14
829,Profane/Obscene,54,61
829,Profane/Obscene,68,72
829,Profane/Obscene,78,82
829,Profane/Obscene,185,189
829,Profane/Obscene,192,195
829,Profane/Obscene,455,458
829,Profane/Obscene,573,579
830,Insult,17,27
831,Insult,17,27
832,Insult,0,27
833,Insult,17,27
834,Insult,17,27
835,Insult,215,220
836,Insult,199,220
837,Insult,215,220
838,Insult,100,106
839,Insult,61,69
840,Insult,61,81
840,Insult,100,106
841,Insult,100,106
842,Insult,4,11
842,Insult,376,382
843,Insult,376,382
843,Profane/Obscene,4,11
844,Threat,4,11
844,Identity based Attack,362,415
845,Insult,33,42
846,Insult,33,42
847,Insult,33,42
849,Identity based Attack,0,14
850,Threat,0,14
851,Insult,20,29
853,Insult,20,29
855,Threat,0,4
857,Insult,52,58
858,Insult,52,58
859,Insult,52,58
860,Insult,0,22
861,Insult,16,22
862,Insult,16,22
863,Insult,16,22
864,Insult,16,22
865,Insult,16,22
865,Identity based Attack,4,12
866,Insult,3,8
867,Insult,3,8
868,Insult,3,8
869,Profane/Obscene,30,34
870,Profane/Obscene,30,40
871,Profane/Obscene,30,34
871,Identity based Attack,0,24
873,Profane/Obscene,30,34
874,Insult,44,61
875,Insult,56,61
876,Insult,56,61
877,Insult,85,91
877,Insult,218,224
878,Insult,85,91
878,Insult,218,224
879,Insult,85,91
880,Insult,22,28
880,Insult,293,299
881,Insult,22,28
882,Insult,1,28
882,Insult,280,299
883,Insult,22,28
883,Insult,293,299
884,Insult,22,28
884,Insult,293,299
885,Insult,29,35
886,Identity based Attack,43,74
886,Profane/Obscene,43,74
888,Insult,8,13
889,Insult,8,13
890,Insult,8,13
891,Insult,76,86
892,Identity based Attack,71,86
893,Insult,76,86
894,Profane/Obscene,24,35
895,Insult,24,35
896,Profane/Obscene,24,35
897,Insult,57,63
898,Insult,36,86
898,Insult,114,128
899,Insult,57,63
899,Insult,65,71
899,Insult,73,79
899,Insult,122,128
900,Insult,167,175
901,Profane/Obscene,49,54
901,Insult,55,62
901,Identity based Attack,262,274
902,Insult,44,62
903,Insult,33,42
904,Insult,33,42
905,Insult,0,11
905,Insult,33,42
906,Insult,37,44
907,Insult,37,44
908,Insult,37,44
909,Insult,37,44
910,Threat,36,40
911,Threat,18,45
912,Threat,36,45
913,Identity based Attack,36,45
913,Threat,36,45
915,Insult,25,30
916,Insult,25,30
917,Insult,25,30
918,Insult,68,73
918,Insult,146,156
918,Insult,158,162
918,Insult,168,174
919,Insult,68,73
919,Insult,146,156
919,Insult,158,162
919,Insult,168,174
920,Insult,146,156
920,Insult,158,162
920,Insult,168,174
921,Insult,24,30
921,Insult,35,39
922,Insult,24,30
922,Insult,35,39
923,Insult,24,39
924,Insult,24,30
924,Insult,35,39
925,Insult,8,16
925,Identity based Attack,33,59
926,Insult,8,16
927,Identity based Attack,8,16
928,Insult,8,16
929,Other Toxicity,179,205
931,Insult,79,100
937,Profane/Obscene,19,22
937,Threat,188,204
937,Profane/Obscene,218,221
938,Profane/Obscene,218,221
939,Insult,0,22
939,Profane/Obscene,19,22
940,Insult,218,221
942,Identity based Attack,219,259
943,Insult,233,242
944,Identity based Attack,216,227
944,Insult,238,242
945,Insult,266,275
946,Insult,7,14
946,Insult,59,64
946,Insult,261,275
947,Identity based Attack,7,20
947,Insult,266,275
948,Profane/Obscene,292,299
949,Insult,292,299
950,Insult,292,299
951,Identity based Attack,48,56
951,Identity based Attack,147,155
951,Profane/Obscene,235,239
951,Identity based Attack,240,248
952,Insult,235,247
954,Insult,28,36
955,Insult,28,36
956,Insult,28,36
959,Insult,31,35
960,Identity based Attack,42,61
961,Insult,30,37
961,Insult,263,276
963,Insult,18,24
964,Insult,18,24
965,Insult,18,24
966,Other Toxicity,208,213
967,Insult,208,213
968,Insult,208,213
969,Insult,68,76
970,Insult,38,42
970,Insult,68,76
971,Profane/Obscene,38,42
971,Insult,68,76
972,Insult,12,17
973,Insult,12,17
974,Insult,12,17
975,Identity based Attack,0,35
976,Insult,20,28
977,Insult,20,28
978,Identity based Attack,54,59
979,Insult,20,28
981,Insult,21,27
982,Insult,21,27
982,Insult,110,116
982,Insult,143,149
983,Insult,21,27
984,Insult,23,29
985,Insult,291,298
986,Other Toxicity,291,298
987,Insult,291,303
988,Insult,40,46
989,Insult,40,46
990,Other Toxicity,40,46
991,Identity based Attack,18,47
995,Insult,11,29
997,Other Toxicity,64,71
998,Insult,50,57
999,Insult,50,55
1000,Insult,40,44
1001,Insult,40,44
1002,Insult,40,44
1003,Insult,23,44
1004,Insult,0,15
1006,Insult,0,8
1006,Insult,9,15
1006,Insult,478,486
1006,Insult,487,493
1007,Insult,132,141
1008,Insult,132,141
1009,Insult,132,141
1010,Other Toxicity,128,137
1011,Insult,154,162
1012,Insult,66,84
1013,Other Toxicity,0,13
1014,Insult,94,98
1014,Insult,6,13
1015,Insult,0,13
1016,Insult,11,21
1016,Insult,28,37
1017,Insult,11,21
1017,Insult,28,37
1018,Insult,28,37
1019,Insult,12,16
1019,Insult,17,21
1020,Insult,12,21
1021,Insult,12,21
1022,Other Toxicity,0,10
1023,Insult,8,13
1024,Insult,8,13
1025,Insult,8,13
1026,Identity based Attack,0,25
1027,Identity based Attack,0,10
1029,Insult,268,275
1031,Insult,268,275
1032,Insult,268,275
1033,Insult,42,46
1034,Insult,42,46
1035,Insult,42,46
1035,Profane/Obscene,0,4
1035,Identity based Attack,57,66
1035,Profane/Obscene,138,142
1035,Identity based Attack,145,151
1035,Identity based Attack,186,192
1036,Insult,14,20
1037,Insult,14,20
1038,Insult,14,20
1039,Insult,112,116
1040,Insult,106,121
1041,Insult,112,121
1042,Insult,61,66
1043,Identity based Attack,61,71
1044,Insult,61,71
1045,Identity based Attack,131,145
1045,Insult,160,164
1046,Profane/Obscene,80,93
1046,Insult,160,164
1046,Insult,5,10
1046,Insult,131,137
1047,Identity based Attack,87,93
1047,Identity based Attack,131,145
1047,Insult,160,164
1048,Insult,157,161
1049,Insult,216,224
1050,Insult,148,177
1050,Insult,216,235
1051,Insult,157,161
1051,Insult,216,235
1052,Identity based Attack,35,43
1053,Insult,9,16
1053,Insult,74,78
1055,Insult,73,93
1056,Identity based Attack,62,93
1057,Insult,81,93
1058,Insult,92,99
